Ticker,Signal Date,Buy Date,Buy Price,%BelowSMA100_at_Buy,Sell Date,Sell Price,%Gain,Cost_bps,Slippage_bps,Net%Gain,HoldingDays,ExitReason,RSI14_at_Signal,IBS_at_Signal,RV20_at_Signal,Breadth_at_Signal,Slope_at_Signal,Votes_At_Entry
XYZ,2022-01-04,2022-01-05,155.0,32.566,2022-01-06,144.660004,-6.671,10,5,-6.951,1,MACD_DownCross,31.697,0.413,0.537,0.772,-0.954815,5
DASH,2022-01-05,2022-01-06,127.43,33.5327,2022-01-21,116.949997,-8.2241,10,5,-8.4995,10,MACD_DownCross,26.221,0.024,0.503,0.734,-0.308394,4
MRNA,2022-01-05,2022-01-06,216.035004,34.385,2022-01-19,174.070007,-19.4251,10,5,-19.6668,8,ATR_Trailing,33.104,0.027,0.621,0.734,-1.162693,5
XYZ,2022-01-07,2022-01-10,139.649994,38.2707,2022-01-14,133.289993,-4.5542,10,5,-4.8406,4,MACD_DownCross,26.222,0.048,0.533,0.732,-1.032843,4
PAYC,2022-01-18,2022-01-19,320.791925,29.852,2022-02-17,322.474518,0.5245,10,5,0.2229,21,TimeStop,21.035,0.117,0.408,0.633,-0.71447,5
PLTR,2022-01-18,2022-01-19,14.9,34.0702,2022-01-26,12.75,-14.4295,10,5,-14.6862,5,ATR_Initial,24.762,0.06,0.481,0.633,-0.059802,5
XYZ,2022-01-18,2022-01-19,129.005005,41.0219,2022-01-27,105.639999,-18.1117,10,5,-18.3574,6,ATR_Initial,25.247,0.2,0.556,0.633,-1.14518,4
GNRC,2022-01-20,2022-01-21,280.0,31.2173,2022-02-22,282.470001,0.8821,10,5,0.5795,21,TimeStop,20.976,0.014,0.332,0.567,-0.835327,4
MRNA,2022-01-20,2022-01-21,166.229996,46.473,2022-02-22,144.970001,-12.7895,10,5,-13.0511,21,TimeStop,26.11,0.116,0.685,0.567,-1.781917,3
CRWD,2022-01-21,2022-01-24,157.175003,34.2049,2022-02-22,166.710007,6.0665,10,5,5.7483,20,MACD_DownCross,29.741,0.16,0.478,0.542,-0.598052,3
DAY,2022-01-21,2022-01-24,74.169998,32.7322,2022-02-17,68.989998,-6.984,10,5,-7.263,18,ATR_Trailing,19.12,0.123,0.408,0.542,-0.137397,4
ENPH,2022-01-21,2022-01-24,119.769997,36.8191,2022-02-23,126.559998,5.6692,10,5,5.3522,21,ATR_Trailing,17.266,0.166,0.52,0.542,-0.156142,3
NFLX,2022-01-21,2022-01-24,383.910004,37.3846,2022-02-17,386.670013,0.7189,10,5,0.4168,18,ATR_Trailing,10.991,0.6,0.845,0.542,0.252372,4
COIN,2022-01-25,2022-01-26,193.600006,28.551,2022-02-23,172.740005,-10.7748,10,5,-11.0425,19,ATR_Trailing,24.685,0.531,0.619,0.5,-0.269441,3
DASH,2022-01-25,2022-01-26,113.0,38.6146,2022-02-23,90.550003,-19.8673,10,5,-20.1077,19,ATR_Initial,27.337,0.384,0.659,0.5,-0.536461,4
DXCM,2022-01-27,2022-01-28,96.739998,29.5059,2022-02-17,96.8125,0.0749,10,5,-0.2253,14,ATR_Trailing,22.671,0.076,0.417,0.425,-0.144195,6
PLTR,2022-01-27,2022-01-28,12.3,43.3741,2022-02-18,11.02,-10.4065,10,5,-10.6753,15,ATR_Trailing,16.019,0.093,0.451,0.425,-0.091999,4
PODD,2022-01-27,2022-01-28,220.0,21.6994,2022-02-22,234.539993,6.6091,10,5,6.2893,16,MACD_DownCross,19.556,0.104,0.43,0.425,-0.547097,3
PYPL,2022-02-02,2022-02-03,129.949997,39.5995,2022-02-17,105.199997,-19.0458,10,5,-19.2886,10,ATR_Initial,26.508,0.327,1.054,0.606,-1.096934,4
XYZ,2022-02-03,2022-02-04,102.489998,49.0898,2022-02-23,88.720001,-13.4355,10,5,-13.6951,12,ATR_Trailing,29.188,0.152,0.809,0.543,-1.407486,5
META,2022-02-07,2022-02-08,219.645011,32.7577,2022-03-01,202.37973,-7.8605,10,5,-8.137,14,ATR_Trailing,22.669,0.063,1.111,0.527,-0.68859,5
DAY,2022-02-18,2022-02-22,66.260002,35.5161,2022-02-23,65.610001,-0.981,10,5,-1.278,1,MACD_DownCross,31.351,0.188,0.59,0.469,-0.355518,4
NFLX,2022-02-18,2022-02-22,388.950012,32.4223,2022-03-08,341.76001,-12.1327,10,5,-12.3963,10,ATR_Initial,36.715,0.162,0.687,0.469,-1.827292,6
PYPL,2022-02-18,2022-02-22,102.150002,47.8933,2022-03-07,93.610001,-8.3603,10,5,-8.6352,9,ATR_Trailing,20.994,0.167,1.05,0.469,-1.486613,6
PLTR,2022-02-22,2022-02-23,10.83,44.0709,2022-03-24,13.39,23.638,10,5,23.2671,21,TimeStop,28.968,0.203,0.894,0.441,-0.138504,3
CSGP,2022-02-23,2022-02-24,51.639999,34.5013,2022-03-25,67.559998,30.8288,10,5,30.4363,21,TimeStop,19.903,0.436,0.663,0.388,-0.205708,3
FSLR,2022-02-23,2022-02-24,62.130001,33.449,2022-03-25,79.650002,28.1989,10,5,27.8143,21,TimeStop,31.057,0.083,0.542,0.388,-0.270718,4
MRNA,2022-02-23,2022-02-24,139.865005,44.1345,2022-03-25,165.919998,18.6287,10,5,18.2728,21,TimeStop,30.743,0.148,0.743,0.388,-2.720879,5
EPAM,2022-02-28,2022-03-01,212.710007,63.364,2022-03-30,293.0,37.7462,10,5,37.333,21,TimeStop,15.942,0.06,2.191,0.481,-1.661562,3
COIN,2022-03-03,2022-03-04,177.610001,30.9212,2022-03-04,165.75,-6.6776,10,5,-6.9575,0,MACD_DownCross,41.047,0.05,0.772,0.477,-0.427259,3
XYZ,2022-03-03,2022-03-04,116.68,33.3207,2022-03-14,94.849998,-18.7093,10,5,-18.9532,6,ATR_Initial,48.735,0.108,1.223,0.477,-1.410785,2
APTV,2022-03-04,2022-03-07,105.43,32.6738,2022-04-05,112.779999,6.9714,10,5,6.6505,21,ATR_Trailing,25.619,0.151,0.61,0.457,-0.171643,5
